,Name,Type,Shape
0,input_16,InputLayer,"[(None, 250, 250, 3)]"
1,conv1_pad,ZeroPadding2D,"(None, 256, 256, 3)"
2,conv1_conv,Conv2D,"(None, 125, 125, 64)"
3,conv1_bn,BatchNormalization,"(None, 125, 125, 64)"
4,conv1_relu,Activation,"(None, 125, 125, 64)"
5,pool1_pad,ZeroPadding2D,"(None, 127, 127, 64)"
6,pool1_pool,MaxPooling2D,"(None, 63, 63, 64)"
7,conv2_block1_1_conv,Conv2D,"(None, 63, 63, 64)"
8,conv2_block1_1_bn,BatchNormalization,"(None, 63, 63, 64)"
9,conv2_block1_1_relu,Activation,"(None, 63, 63, 64)"
10,conv2_block1_2_conv,Conv2D,"(None, 63, 63, 64)"
11,conv2_block1_2_bn,BatchNormalization,"(None, 63, 63, 64)"
12,conv2_block1_2_relu,Activation,"(None, 63, 63, 64)"
13,conv2_block1_0_conv,Conv2D,"(None, 63, 63, 256)"
14,conv2_block1_3_conv,Conv2D,"(None, 63, 63, 256)"
15,conv2_block1_0_bn,BatchNormalization,"(None, 63, 63, 256)"
16,conv2_block1_3_bn,BatchNormalization,"(None, 63, 63, 256)"
17,conv2_block1_add,Add,"(None, 63, 63, 256)"
18,conv2_block1_out,Activation,"(None, 63, 63, 256)"
19,conv2_block2_1_conv,Conv2D,"(None, 63, 63, 64)"
20,conv2_block2_1_bn,BatchNormalization,"(None, 63, 63, 64)"
21,conv2_block2_1_relu,Activation,"(None, 63, 63, 64)"
22,conv2_block2_2_conv,Conv2D,"(None, 63, 63, 64)"
23,conv2_block2_2_bn,BatchNormalization,"(None, 63, 63, 64)"
24,conv2_block2_2_relu,Activation,"(None, 63, 63, 64)"
25,conv2_block2_3_conv,Conv2D,"(None, 63, 63, 256)"
26,conv2_block2_3_bn,BatchNormalization,"(None, 63, 63, 256)"
27,conv2_block2_add,Add,"(None, 63, 63, 256)"
28,conv2_block2_out,Activation,"(None, 63, 63, 256)"
29,conv2_block3_1_conv,Conv2D,"(None, 63, 63, 64)"
30,conv2_block3_1_bn,BatchNormalization,"(None, 63, 63, 64)"
31,conv2_block3_1_relu,Activation,"(None, 63, 63, 64)"
32,conv2_block3_2_conv,Conv2D,"(None, 63, 63, 64)"
33,conv2_block3_2_bn,BatchNormalization,"(None, 63, 63, 64)"
34,conv2_block3_2_relu,Activation,"(None, 63, 63, 64)"
35,conv2_block3_3_conv,Conv2D,"(None, 63, 63, 256)"
36,conv2_block3_3_bn,BatchNormalization,"(None, 63, 63, 256)"
37,conv2_block3_add,Add,"(None, 63, 63, 256)"
38,conv2_block3_out,Activation,"(None, 63, 63, 256)"
39,conv3_block1_1_conv,Conv2D,"(None, 32, 32, 128)"
40,conv3_block1_1_bn,BatchNormalization,"(None, 32, 32, 128)"
41,conv3_block1_1_relu,Activation,"(None, 32, 32, 128)"
42,conv3_block1_2_conv,Conv2D,"(None, 32, 32, 128)"
43,conv3_block1_2_bn,BatchNormalization,"(None, 32, 32, 128)"
44,conv3_block1_2_relu,Activation,"(None, 32, 32, 128)"
45,conv3_block1_0_conv,Conv2D,"(None, 32, 32, 512)"
46,conv3_block1_3_conv,Conv2D,"(None, 32, 32, 512)"
47,conv3_block1_0_bn,BatchNormalization,"(None, 32, 32, 512)"
48,conv3_block1_3_bn,BatchNormalization,"(None, 32, 32, 512)"
49,conv3_block1_add,Add,"(None, 32, 32, 512)"
50,conv3_block1_out,Activation,"(None, 32, 32, 512)"
51,conv3_block2_1_conv,Conv2D,"(None, 32, 32, 128)"
52,conv3_block2_1_bn,BatchNormalization,"(None, 32, 32, 128)"
53,conv3_block2_1_relu,Activation,"(None, 32, 32, 128)"
54,conv3_block2_2_conv,Conv2D,"(None, 32, 32, 128)"
55,conv3_block2_2_bn,BatchNormalization,"(None, 32, 32, 128)"
56,conv3_block2_2_relu,Activation,"(None, 32, 32, 128)"
57,conv3_block2_3_conv,Conv2D,"(None, 32, 32, 512)"
58,conv3_block2_3_bn,BatchNormalization,"(None, 32, 32, 512)"
59,conv3_block2_add,Add,"(None, 32, 32, 512)"
60,conv3_block2_out,Activation,"(None, 32, 32, 512)"
61,conv3_block3_1_conv,Conv2D,"(None, 32, 32, 128)"
62,conv3_block3_1_bn,BatchNormalization,"(None, 32, 32, 128)"
63,conv3_block3_1_relu,Activation,"(None, 32, 32, 128)"
64,conv3_block3_2_conv,Conv2D,"(None, 32, 32, 128)"
65,conv3_block3_2_bn,BatchNormalization,"(None, 32, 32, 128)"
66,conv3_block3_2_relu,Activation,"(None, 32, 32, 128)"
67,conv3_block3_3_conv,Conv2D,"(None, 32, 32, 512)"
68,conv3_block3_3_bn,BatchNormalization,"(None, 32, 32, 512)"
69,conv3_block3_add,Add,"(None, 32, 32, 512)"
70,conv3_block3_out,Activation,"(None, 32, 32, 512)"
71,conv3_block4_1_conv,Conv2D,"(None, 32, 32, 128)"
72,conv3_block4_1_bn,BatchNormalization,"(None, 32, 32, 128)"
73,conv3_block4_1_relu,Activation,"(None, 32, 32, 128)"
74,conv3_block4_2_conv,Conv2D,"(None, 32, 32, 128)"
75,conv3_block4_2_bn,BatchNormalization,"(None, 32, 32, 128)"
76,conv3_block4_2_relu,Activation,"(None, 32, 32, 128)"
77,conv3_block4_3_conv,Conv2D,"(None, 32, 32, 512)"
78,conv3_block4_3_bn,BatchNormalization,"(None, 32, 32, 512)"
79,conv3_block4_add,Add,"(None, 32, 32, 512)"
80,conv3_block4_out,Activation,"(None, 32, 32, 512)"
81,conv4_block1_1_conv,Conv2D,"(None, 16, 16, 256)"
82,conv4_block1_1_bn,BatchNormalization,"(None, 16, 16, 256)"
83,conv4_block1_1_relu,Activation,"(None, 16, 16, 256)"
84,conv4_block1_2_conv,Conv2D,"(None, 16, 16, 256)"
85,conv4_block1_2_bn,BatchNormalization,"(None, 16, 16, 256)"
86,conv4_block1_2_relu,Activation,"(None, 16, 16, 256)"
87,conv4_block1_0_conv,Conv2D,"(None, 16, 16, 1024)"
88,conv4_block1_3_conv,Conv2D,"(None, 16, 16, 1024)"
89,conv4_block1_0_bn,BatchNormalization,"(None, 16, 16, 1024)"
90,conv4_block1_3_bn,BatchNormalization,"(None, 16, 16, 1024)"
91,conv4_block1_add,Add,"(None, 16, 16, 1024)"
92,conv4_block1_out,Activation,"(None, 16, 16, 1024)"
93,conv4_block2_1_conv,Conv2D,"(None, 16, 16, 256)"
94,conv4_block2_1_bn,BatchNormalization,"(None, 16, 16, 256)"
95,conv4_block2_1_relu,Activation,"(None, 16, 16, 256)"
96,conv4_block2_2_conv,Conv2D,"(None, 16, 16, 256)"
97,conv4_block2_2_bn,BatchNormalization,"(None, 16, 16, 256)"
98,conv4_block2_2_relu,Activation,"(None, 16, 16, 256)"
99,conv4_block2_3_conv,Conv2D,"(None, 16, 16, 1024)"
100,conv4_block2_3_bn,BatchNormalization,"(None, 16, 16, 1024)"
101,conv4_block2_add,Add,"(None, 16, 16, 1024)"
102,conv4_block2_out,Activation,"(None, 16, 16, 1024)"
103,conv4_block3_1_conv,Conv2D,"(None, 16, 16, 256)"
104,conv4_block3_1_bn,BatchNormalization,"(None, 16, 16, 256)"
105,conv4_block3_1_relu,Activation,"(None, 16, 16, 256)"
106,conv4_block3_2_conv,Conv2D,"(None, 16, 16, 256)"
107,conv4_block3_2_bn,BatchNormalization,"(None, 16, 16, 256)"
108,conv4_block3_2_relu,Activation,"(None, 16, 16, 256)"
109,conv4_block3_3_conv,Conv2D,"(None, 16, 16, 1024)"
110,conv4_block3_3_bn,BatchNormalization,"(None, 16, 16, 1024)"
111,conv4_block3_add,Add,"(None, 16, 16, 1024)"
112,conv4_block3_out,Activation,"(None, 16, 16, 1024)"
113,conv4_block4_1_conv,Conv2D,"(None, 16, 16, 256)"
114,conv4_block4_1_bn,BatchNormalization,"(None, 16, 16, 256)"
115,conv4_block4_1_relu,Activation,"(None, 16, 16, 256)"
116,conv4_block4_2_conv,Conv2D,"(None, 16, 16, 256)"
117,conv4_block4_2_bn,BatchNormalization,"(None, 16, 16, 256)"
118,conv4_block4_2_relu,Activation,"(None, 16, 16, 256)"
119,conv4_block4_3_conv,Conv2D,"(None, 16, 16, 1024)"
120,conv4_block4_3_bn,BatchNormalization,"(None, 16, 16, 1024)"
121,conv4_block4_add,Add,"(None, 16, 16, 1024)"
122,conv4_block4_out,Activation,"(None, 16, 16, 1024)"
123,conv4_block5_1_conv,Conv2D,"(None, 16, 16, 256)"
124,conv4_block5_1_bn,BatchNormalization,"(None, 16, 16, 256)"
125,conv4_block5_1_relu,Activation,"(None, 16, 16, 256)"
126,conv4_block5_2_conv,Conv2D,"(None, 16, 16, 256)"
127,conv4_block5_2_bn,BatchNormalization,"(None, 16, 16, 256)"
128,conv4_block5_2_relu,Activation,"(None, 16, 16, 256)"
129,conv4_block5_3_conv,Conv2D,"(None, 16, 16, 1024)"
130,conv4_block5_3_bn,BatchNormalization,"(None, 16, 16, 1024)"
131,conv4_block5_add,Add,"(None, 16, 16, 1024)"
132,conv4_block5_out,Activation,"(None, 16, 16, 1024)"
133,conv4_block6_1_conv,Conv2D,"(None, 16, 16, 256)"
134,conv4_block6_1_bn,BatchNormalization,"(None, 16, 16, 256)"
135,conv4_block6_1_relu,Activation,"(None, 16, 16, 256)"
136,conv4_block6_2_conv,Conv2D,"(None, 16, 16, 256)"
137,conv4_block6_2_bn,BatchNormalization,"(None, 16, 16, 256)"
138,conv4_block6_2_relu,Activation,"(None, 16, 16, 256)"
139,conv4_block6_3_conv,Conv2D,"(None, 16, 16, 1024)"
140,conv4_block6_3_bn,BatchNormalization,"(None, 16, 16, 1024)"
141,conv4_block6_add,Add,"(None, 16, 16, 1024)"
142,conv4_block6_out,Activation,"(None, 16, 16, 1024)"
143,conv5_block1_1_conv,Conv2D,"(None, 8, 8, 512)"
144,conv5_block1_1_bn,BatchNormalization,"(None, 8, 8, 512)"
145,conv5_block1_1_relu,Activation,"(None, 8, 8, 512)"
146,conv5_block1_2_conv,Conv2D,"(None, 8, 8, 512)"
147,conv5_block1_2_bn,BatchNormalization,"(None, 8, 8, 512)"
148,conv5_block1_2_relu,Activation,"(None, 8, 8, 512)"
149,conv5_block1_0_conv,Conv2D,"(None, 8, 8, 2048)"
150,conv5_block1_3_conv,Conv2D,"(None, 8, 8, 2048)"
151,conv5_block1_0_bn,BatchNormalization,"(None, 8, 8, 2048)"
152,conv5_block1_3_bn,BatchNormalization,"(None, 8, 8, 2048)"
153,conv5_block1_add,Add,"(None, 8, 8, 2048)"
154,conv5_block1_out,Activation,"(None, 8, 8, 2048)"
155,conv5_block2_1_conv,Conv2D,"(None, 8, 8, 512)"
156,conv5_block2_1_bn,BatchNormalization,"(None, 8, 8, 512)"
157,conv5_block2_1_relu,Activation,"(None, 8, 8, 512)"
158,conv5_block2_2_conv,Conv2D,"(None, 8, 8, 512)"
159,conv5_block2_2_bn,BatchNormalization,"(None, 8, 8, 512)"
160,conv5_block2_2_relu,Activation,"(None, 8, 8, 512)"
161,conv5_block2_3_conv,Conv2D,"(None, 8, 8, 2048)"
162,conv5_block2_3_bn,BatchNormalization,"(None, 8, 8, 2048)"
163,conv5_block2_add,Add,"(None, 8, 8, 2048)"
164,conv5_block2_out,Activation,"(None, 8, 8, 2048)"
165,conv5_block3_1_conv,Conv2D,"(None, 8, 8, 512)"
166,conv5_block3_1_bn,BatchNormalization,"(None, 8, 8, 512)"
167,conv5_block3_1_relu,Activation,"(None, 8, 8, 512)"
168,conv5_block3_2_conv,Conv2D,"(None, 8, 8, 512)"
169,conv5_block3_2_bn,BatchNormalization,"(None, 8, 8, 512)"
170,conv5_block3_2_relu,Activation,"(None, 8, 8, 512)"
171,conv5_block3_3_conv,Conv2D,"(None, 8, 8, 2048)"
172,conv5_block3_3_bn,BatchNormalization,"(None, 8, 8, 2048)"
173,conv5_block3_add,Add,"(None, 8, 8, 2048)"
174,conv5_block3_out,Activation,"(None, 8, 8, 2048)"
